Date,Open,High,Low,Close,Volume,Adj Close
2013-12-23,175.54,175.99,174.22,174.87,504400,172.53
2013-12-20,175.74,176.41,174.94,175.05,657100,172.71
2013-12-19,178.37,178.37,175.02,175.14,651900,172.80
2013-12-18,174.87,177.25,172.67,177.09,818800,174.72
2013-12-17,175.30,175.33,173.50,174.35,646400,172.02
2013-12-16,175.42,176.87,174.26,175.56,829400,173.21
2013-12-13,173.02,175.35,173.02,175.19,1000700,172.85
2013-12-12,170.59,173.39,169.86,173.02,921200,170.71
2013-12-11,172.23,173.14,170.95,171.09,723200,168.80
2013-12-10,170.73,172.52,170.73,171.73,697100,169.43
2013-12-09,172.64,174.52,171.01,171.18,596700,168.89
2013-12-06,174.74,174.74,171.93,172.29,705800,169.99
2013-12-05,172.89,173.84,172.02,173.50,613200,171.18
2013-12-04,172.37,174.20,172.37,173.63,602100,171.31
2013-12-03,173.79,174.84,171.84,173.15,710900,170.83
2013-12-02,175.08,175.28,173.18,174.05,414000,171.72
2013-11-29,174.90,175.71,173.74,175.23,265300,172.89
2013-11-27,175.69,175.69,173.81,174.31,325300,171.98
2013-11-26,175.57,177.00,175.29,175.36,508000,173.01
2013-11-25,175.42,175.98,174.60,175.51,507200,173.16
2013-11-22,172.21,175.12,172.19,175.02,667100,172.68
2013-11-21,172.42,172.93,170.80,171.98,663400,169.68
2013-11-20,173.91,174.68,171.81,172.00,606000,169.70
2013-11-19,173.56,174.27,172.50,173.26,558300,170.94
2013-11-18,175.29,175.76,172.65,173.07,730900,170.76
2013-11-15,176.52,176.82,173.44,175.90,1162200,173.55
2013-11-14,175.40,176.70,174.80,176.67,831000,174.31
2013-11-13,171.97,176.37,171.97,176.07,1225400,173.72
2013-11-12,172.16,173.08,171.21,171.49,1194800,169.20
2013-11-11,173.40,173.50,171.80,172.53,1346500,170.22
2013-11-08,172.99,173.72,172.32,173.42,1034500,171.10
2013-11-07,180.25,181.07,172.43,172.81,2559200,170.50
2013-11-06,180.00,180.78,176.81,180.52,3249500,178.11
2013-11-05,169.71,173.32,169.61,171.19,1961700,168.90
2013-11-04,169.67,171.98,168.31,169.59,935400,167.32
2013-11-01,166.55,168.97,166.44,168.80,973200,166.54
2013-10-31,166.33,166.92,164.92,165.64,571500,163.42
2013-10-30,165.60,167.84,165.53,166.82,679900,164.59
2013-10-29,165.79,166.27,164.55,165.61,628200,163.40
2013-10-28,164.44,165.22,163.07,165.05,533000,162.84
2013-10-25,165.00,165.60,163.98,164.54,457900,162.34
2013-10-24,164.16,165.14,163.97,164.70,418600,162.50
2013-10-23,166.08,166.44,163.21,164.21,541100,162.01
2013-10-22,164.20,167.11,163.61,166.53,915500,164.30
2013-10-21,164.26,164.86,163.10,163.61,398500,161.42
2013-10-18,162.01,163.94,161.80,163.90,637400,161.71
2013-10-17,158.47,162.00,157.01,161.68,1353600,159.52
2013-10-16,159.18,159.75,157.57,158.68,1418900,156.56
2013-10-15,160.95,161.66,158.31,158.73,1922600,156.61
2013-10-14,160.94,162.41,160.31,161.10,654900,158.95
2013-10-11,163.65,164.10,161.26,161.34,750000,159.18
2013-10-10,165.38,165.38,163.40,163.64,717200,161.45
2013-10-09,159.82,164.10,159.35,162.40,1071100,160.23
2013-10-08,164.56,165.01,160.55,161.10,794800,158.95
2013-10-07,165.45,166.60,164.25,164.35,634400,162.15
2013-10-04,164.47,167.57,163.76,166.69,547700,164.46
2013-10-03,164.15,166.23,163.25,164.48,851300,162.28
2013-10-02,164.34,164.41,161.90,164.01,908500,161.82
2013-10-01,165.64,166.32,164.04,164.93,557600,162.72
2013-09-30,163.59,165.65,162.56,164.73,684500,162.53
2013-09-27,165.03,166.31,164.33,165.63,800200,163.41
2013-09-26,164.07,166.04,163.66,165.53,734100,163.32
2013-09-25,164.56,165.76,161.98,163.00,782700,160.82
2013-09-24,165.27,166.53,164.06,165.18,772400,162.58
2013-09-23,166.79,167.40,163.86,165.00,771200,162.40
2013-09-20,168.17,168.65,167.04,167.33,936600,164.69
2013-09-19,168.10,169.35,167.91,168.31,725700,165.66
2013-09-18,167.10,169.30,165.74,168.12,831800,165.47
2013-09-17,168.03,168.03,166.36,166.68,410900,164.05
2013-09-16,168.73,169.41,166.92,167.21,779700,164.57
2013-09-13,163.18,166.83,163.11,166.35,869400,163.73
2013-09-12,163.63,164.16,162.22,163.06,1233300,160.49
2013-09-11,164.13,164.60,163.00,163.90,1476400,161.32
2013-09-10,166.29,166.30,162.53,163.04,2242900,160.47
2013-09-09,165.48,166.27,165.13,165.74,1804800,163.13
2013-09-06,166.43,166.78,163.31,165.18,1293300,162.58
2013-09-05,166.04,167.49,165.46,166.00,680700,163.38
2013-09-04,167.25,168.00,166.58,166.67,1012200,164.04
2013-09-03,167.99,168.49,165.68,167.12,753800,164.49
2013-08-30,166.64,166.84,165.00,165.41,313400,162.80
2013-08-29,165.55,167.11,165.50,166.14,398800,163.52
2013-08-28,165.81,167.02,165.35,165.55,651600,162.94
2013-08-27,167.53,169.99,165.68,165.78,613900,163.17
2013-08-26,171.57,172.41,170.11,170.21,247200,167.53
2013-08-23,172.66,172.73,170.74,171.65,386200,168.94
2013-08-22,172.24,173.43,171.60,172.36,390800,169.64
2013-08-21,171.78,173.00,171.06,171.86,412700,169.15
2013-08-20,171.05,173.62,170.76,171.97,464500,169.26
2013-08-19,172.06,173.00,170.17,170.23,834600,167.55
2013-08-16,173.54,174.65,172.01,172.08,885500,169.37
2013-08-15,174.99,175.55,173.57,174.44,678800,171.69
2013-08-14,178.54,178.80,176.01,176.76,523500,173.97
2013-08-13,177.70,179.06,177.42,178.53,481500,175.72
2013-08-12,175.00,178.42,174.70,178.08,560900,175.27
2013-08-09,177.51,179.21,177.04,178.95,683100,176.13
2013-08-08,174.16,179.20,173.11,177.70,1546300,174.90
2013-08-07,177.06,180.76,172.01,173.13,3092900,170.40
2013-08-06,187.36,189.80,186.01,189.51,881400,186.52
2013-08-05,187.25,189.28,187.25,188.30,575100,185.33
2013-08-02,186.69,188.64,185.02,188.03,503200,185.07
2013-08-01,183.85,187.60,182.86,186.99,629300,184.04
2013-07-31,182.46,183.13,180.98,182.06,609800,179.19
2013-07-30,180.43,182.06,180.04,181.64,460100,178.78
2013-07-29,180.67,180.91,179.81,180.29,189700,177.45
2013-07-26,178.00,181.10,177.51,180.98,499700,178.13
2013-07-25,179.13,181.15,178.98,179.26,783000,176.43
2013-07-24,180.54,181.14,179.02,179.13,382000,176.31
2013-07-23,180.91,181.81,180.00,180.14,532400,177.30
2013-07-22,179.95,181.67,179.59,180.49,1008700,177.64
2013-07-19,179.88,179.88,178.24,179.22,595400,176.39
2013-07-18,178.53,180.00,178.22,179.98,1125300,177.14
2013-07-17,180.52,181.35,178.26,178.53,404300,175.72
2013-07-16,181.57,182.27,179.40,180.16,444800,177.32
2013-07-15,182.37,182.78,181.09,181.75,324200,178.89
2013-07-12,183.00,183.55,181.99,182.40,303500,179.52
2013-07-11,181.95,183.44,181.43,183.24,668800,180.35
2013-07-10,177.75,180.15,177.75,180.02,627600,177.18
2013-07-09,173.91,178.20,173.91,177.63,575100,174.83
2013-07-08,174.99,176.12,174.28,175.96,1203300,173.19
2013-07-05,173.85,174.88,172.32,174.03,1220500,171.29
2013-07-03,170.89,173.48,170.89,172.79,160500,170.07
2013-07-02,173.93,174.75,171.90,172.67,495900,169.95
2013-07-01,174.18,176.00,173.67,173.94,522400,171.20
2013-06-28,173.06,175.21,171.04,173.74,647700,171.00
2013-06-27,171.73,174.19,171.06,173.65,490500,170.91
2013-06-26,172.70,174.61,170.05,170.37,677900,167.68
2013-06-25,170.44,171.81,169.49,170.26,608000,167.18
2013-06-24,169.09,170.30,165.73,168.58,657900,165.53
2013-06-21,171.57,172.00,167.46,169.09,811400,166.03
2013-06-20,176.44,176.61,169.73,170.33,757700,167.25
2013-06-19,178.66,179.96,177.52,177.81,589200,174.60
2013-06-18,175.98,178.96,175.33,178.90,438500,175.67
2013-06-17,174.46,177.38,174.46,176.10,608700,172.92
2013-06-14,173.21,174.84,172.91,173.15,367100,170.02
2013-06-13,173.26,174.94,172.75,174.43,569100,171.28
2013-06-12,175.21,175.21,172.22,172.46,254800,169.34
2013-06-11,173.55,175.30,172.67,173.78,439300,170.64
2013-06-10,176.10,176.43,175.19,175.80,649800,172.62
2013-06-07,175.09,177.00,174.89,175.94,495900,172.76
2013-06-06,173.14,174.94,172.56,174.59,394600,171.43
2013-06-05,175.15,175.97,173.60,173.74,331600,170.60
2013-06-04,175.36,178.39,174.72,176.32,695100,173.13
2013-06-03,175.24,175.89,172.45,175.65,773800,172.47
2013-05-31,175.39,177.92,174.84,175.09,847700,171.93
2013-05-30,177.52,178.51,175.26,175.57,961200,172.40
2013-05-29,178.39,179.68,176.71,177.33,811100,174.12
2013-05-28,182.75,183.29,178.37,178.47,1091800,175.24
2013-05-24,182.64,183.20,180.10,180.97,1038600,177.70
